,날짜,종가,전일비,시가,고가,저가,거래량
13,2021.01.27,11400.0,50.0,11700.0,11750.0,11300.0,413711.0
12,2021.01.28,10700.0,700.0,11000.0,11400.0,10650.0,566563.0
11,2021.01.29,10000.0,700.0,10700.0,10900.0,9960.0,596221.0
10,2021.02.01,10050.0,50.0,9850.0,10150.0,9650.0,447651.0
9,2021.02.02,10200.0,150.0,10100.0,10450.0,10000.0,318906.0
5,2021.02.03,10300.0,100.0,10200.0,10450.0,10100.0,228647.0
4,2021.02.04,10400.0,100.0,10450.0,11050.0,10200.0,790514.0
3,2021.02.05,10350.0,50.0,10550.0,10600.0,10100.0,238394.0
2,2021.02.08,10200.0,150.0,10450.0,10800.0,10150.0,309618.0
1,2021.02.09,10050.0,150.0,10250.0,10400.0,10050.0,216837.0
13,2021.02.10,10100.0,50.0,10050.0,10400.0,10000.0,218929.0
12,2021.02.15,10250.0,150.0,10100.0,10350.0,10050.0,199551.0
11,2021.02.16,10300.0,50.0,10250.0,10600.0,10150.0,321698.0
10,2021.02.17,10350.0,50.0,10350.0,10700.0,10150.0,516394.0
9,2021.02.18,10100.0,250.0,10350.0,10400.0,10050.0,246071.0
5,2021.02.19,10000.0,100.0,10150.0,10200.0,9850.0,310366.0
4,2021.02.22,9840.0,160.0,10100.0,10200.0,9840.0,252807.0
3,2021.02.23,9510.0,330.0,9660.0,10000.0,9510.0,250410.0
2,2021.02.24,8890.0,620.0,9440.0,9590.0,8880.0,389317.0
1,2021.02.25,8890.0,0.0,8760.0,8950.0,8540.0,504084.0
13,2021.02.26,8400.0,490.0,8880.0,8880.0,8200.0,409833.0
12,2021.03.02,8390.0,10.0,8400.0,8640.0,8290.0,273997.0
11,2021.03.03,8500.0,110.0,8280.0,8560.0,8280.0,181929.0
10,2021.03.04,8200.0,300.0,8450.0,8450.0,8100.0,218595.0
9,2021.03.05,7970.0,230.0,8090.0,8160.0,7770.0,232544.0
5,2021.03.08,7710.0,260.0,8000.0,8050.0,7710.0,160044.0
4,2021.03.09,7530.0,180.0,7700.0,7740.0,7180.0,305481.0
3,2021.03.10,7500.0,30.0,7570.0,7820.0,7490.0,165629.0
2,2021.03.11,7750.0,250.0,7600.0,7930.0,7590.0,227796.0
1,2021.03.12,8180.0,430.0,8000.0,8270.0,7900.0,347758.0
